,spotted,battles_on_stunning_vehicles,hits,battle_avg_xp,draws,max_xp,survived_battles,wins,losses,capture_points,battles,damage_dealt,damage_received,max_frags,shots,frags,max_damage,xp,avg_damage_assisted,piercings,user_id,nickname,wn8
0,807,38,3564,263,15,1116,174,398,396,522,809,188718,263988,5,7319,389,1567,212897,108.0,2126,630675552,greenbirdus,"567,79"
1,1530,3,9382,234,26,1239,611,1014,1029,3847,2069,522446,593769,6,19333,1233,2012,483650,111.85,6362,596561562,C_ABTOBA3A,"530,66"
2,128,0,1500,147,2,726,130,265,254,446,521,51855,144024,5,4138,157,1036,76622,42.06,883,634554120,Babay19910403,"117,49"
3,14488,105,56828,382,118,2160,1985,5282,5098,8549,10498,7102513,7633297,10,96897,7643,6255,4005621,297.38,35147,502086999,2803nevs,"1134,25"
4,498,0,4965,408,3,2181,202,321,197,348,521,234017,91258,10,8304,895,2232,212310,80.2,3878,534287717,ce3peo,"2172,30"
5,37299,669,196164,554,502,2703,9450,16701,14269,32136,31472,35923508,27615987,11,287110,29952,8003,17446110,418.92,96231,500357113,Feiner,"1719,65"
6,2133,0,8358,326,20,1616,446,1071,1110,2334,2201,1005837,1363033,7,14085,1298,3757,717086,186.78,5901,634949909,temoha_11,"712,40"
7,761,0,4567,319,4,1272,329,603,638,857,1245,297027,664224,6,10219,439,2238,397687,110.9,2515,531201778,FERMYNT,"287,02"
8,307,0,2475,191,3,822,155,311,319,1122,633,91928,182575,5,5022,239,1202,121072,71.1,1255,532292262,binghor,"257,11"
9,933,0,5504,667,5,2063,128,344,342,16,691,798318,849686,5,7437,649,4080,461239,332.56,4061,539655080,PseudonymeSecret,"1766,98"
10,3463,0,22783,754,40,2619,719,1531,1216,3580,2787,3247903,2979748,7,35823,2692,6182,2100874,356.37,15747,588436828,anonym_qaJLECmIhBsp,"1832,49"
11,4606,80,25432,314,62,2235,867,2658,2856,6083,5576,2331783,3005263,7,52358,2690,4995,1752001,147.04,13624,618955370,7over7,"637,45"
12,650,0,3176,151,11,788,435,913,1200,1218,2124,154786,840087,4,15061,337,1182,320000,60.44,1768,539662081,terminator001_invader,"34,18"
13,1111,0,11785,544,16,2098,341,559,464,1610,1039,801535,594340,8,17169,1286,2873,565550,238.61,8229,510765901,MrGanjebas,"1968,07"
14,1591,0,5331,200,9,1320,268,867,895,1613,1771,289002,639526,6,9693,672,1939,353373,96.48,3591,658732349,stenin_sasha_64449788,"269,72"
15,1381,0,5693,186,21,939,372,720,762,1999,1503,237412,360080,9,10250,695,1409,279394,91.7,3917,519935695,YJDax,"325,10"
16,470,0,2356,152,9,874,123,297,322,514,628,80657,106016,4,5126,293,994,95205,58.12,1425,605772239,RenamedUser_41494937,"240,57"
17,1599,0,9534,267,17,1916,239,727,833,1733,1577,410710,555357,8,19348,987,3453,420507,111.78,6032,530261833,FunyFanta,"630,02"
18,1070,0,4856,198,18,1286,375,873,962,1365,1853,357626,855282,5,9603,614,2156,366525,93.53,2892,627249087,VARUTA_27856793,"246,60"
19,7038,0,30512,331,65,2004,1151,2638,2438,11120,5141,2091688,2303749,8,51709,3783,2761,1702644,229.28,4526,501642943,dannyzed,"977,88"
20,5148,301,27313,505,101,2025,856,2745,3209,2185,6055,4728340,7354166,6,44018,3114,5609,3056881,241.4,17788,604222191,But_sher,"790,58"
21,374,0,3005,186,8,1237,232,385,438,714,831,161492,227476,5,5119,370,1842,154271,72.73,2007,627654363,RenamedUser_28983843,"304,76"
22,320,0,1102,80,22,448,111,208,339,257,569,12643,78235,3,8139,64,359,45612,31.31,555,516845098,Valdi_,"0,00"
23,789,0,6607,188,11,869,281,645,751,1407,1407,231525,427011,6,12931,540,1553,264810,62.13,3917,543793100,GhostFighting,"298,67"
25,370,0,3511,226,12,1821,221,540,587,1778,1139,190975,482336,6,7375,334,2553,256861,72.1,1875,614431234,Alexandra_Blanka,"181,01"
26,576,0,3738,350,3,1760,83,267,258,505,528,269973,214282,8,6095,473,4919,185040,91.12,2598,595910660,error_404_html,"1216,75"
27,1794,22,5504,182,14,853,261,689,685,2442,1388,195030,394670,5,11765,455,779,252015,90.34,680,619596802,RenamedUser_2535488,"285,52"
28,777,0,6324,403,27,2024,351,698,787,1245,1512,710913,1161037,7,9945,718,4293,610050,183.88,3903,596102902,zhenya0895,"593,75"
29,511,0,3125,201,10,984,201,404,487,731,901,150862,222939,6,8504,412,1277,181044,71.53,2034,522580180,MaDMeen,"308,78"
30,469,0,758,144,3,1080,64,250,343,421,596,30396,170993,7,3742,84,711,85603,66.41,461,633341194,RenamedUser_70994179,"24,89"
31,614,3,4239,162,8,665,207,437,499,1552,944,100371,212075,4,11951,299,1052,152487,57.46,2138,514047451,honzawrc,"184,09"
32,2367,0,8675,239,44,1168,625,1170,1075,3196,2289,787772,595795,7,21043,1655,0,547286,0.0,0,503474325,becksdowner,"849,40"
33,828,0,2978,192,10,1315,206,495,682,1985,1187,164469,502592,5,7721,289,1875,227910,119.69,402,511585118,Fendtkiller,"105,10"
34,13220,484,88974,528,156,2588,4119,7357,6848,13881,14361,11640692,10111033,10,153322,13690,6194,7586678,294.52,54495,504051181,MaitreDodus,"1273,75"
35,17002,990,91952,405,152,2115,4531,8471,7890,21268,16513,12223951,12177333,8,144923,14181,5930,6686739,270.24,60458,620661641,IiIMarHeTToIiI,"1260,41"
36,1101,0,5250,197,8,1302,297,783,912,2361,1703,325140,707962,9,11143,646,2847,335118,95.58,3391,516859358,arturx9,"265,04"
38,1218,1,6215,181,9,1319,304,910,1032,690,1951,238814,456989,8,16227,703,1270,352326,58.2,3752,634405037,RenamedUser_78351228,"178,15"
39,13380,214,66528,228,170,1326,3834,8970,10018,9196,19158,4979298,9077787,8,170910,7286,3110,4367818,128.13,32260,622083121,Vitaliy0905,"363,87"
40,4111,12,18586,358,47,1716,827,2058,2325,4972,4430,2414432,3496297,7,29163,2454,3660,1586509,202.71,12698,654706707,3564ws,"732,64"
41,5430,8,32177,426,80,2162,1709,3695,3963,6821,7738,5149078,7294846,7,50824,4302,5328,3294952,245.15,18708,595125147,terr1bLeE,"808,09"
42,8654,0,59177,562,103,2580,2954,5226,4843,15902,10172,11446966,10599909,8,82619,8813,5800,5715699,300.07,41983,597880983,vetalmaniak,"1510,88"
43,436,0,2275,223,5,1217,100,313,388,469,706,131795,292907,5,4750,253,1684,157262,81.23,1300,556366749,Delixpl,"263,84"
44,353,0,2334,202,4,1233,104,315,353,406,672,93088,224635,6,6866,252,1460,136073,62.21,1450,608711044,I_Stalin_1,"190,45"
46,2601,3,13058,455,21,2024,630,1217,1140,1455,2378,1755358,1846277,9,21675,2005,4413,1081960,250.15,8899,541649235,HintCZ_32,"1201,23"
47,2892,0,20827,493,60,1943,1079,1851,2047,4304,3958,2645883,3820505,7,31828,2008,3934,1952743,292.52,13587,572262561,baalart,"796,77"
48,2091,0,8380,291,21,1752,464,1147,1151,3124,2319,757012,1406645,6,14665,1123,3417,675385,153.22,5377,625038798,Antonio_UWS,"505,36"
49,1442,0,5268,220,16,1123,178,573,665,2011,1254,241912,502292,7,12702,500,1516,275592,121.69,705,655108689,SaHe4eG,"354,14"
50,2252,0,13432,364,20,2031,499,1307,1349,2583,2676,1291400,1561145,7,21824,1709,3217,973500,172.33,8554,632419318,RenamedUser_64902189,"745,78"
51,1052,31,7613,501,6,1962,156,258,238,709,502,245758,187110,7,17084,508,2071,251285,320.54,4410,627998923,RenamedUser_30043715,"1563,49"
52,15410,145,97639,670,165,2725,4339,8092,7195,7072,15452,16930021,14217762,12,145446,14067,6042,10348331,361.35,67678,511093932,HamLegion,"1575,68"
53,3719,0,32209,204,54,1239,984,2020,1992,4464,4066,702664,1016704,7,78659,2354,1932,830174,100.49,7589,502008800,MASIUL,"395,36"
54,802,0,4780,210,19,1027,183,451,488,1925,958,174086,412228,4,8720,329,1343,200908,95.46,2624,523984821,SMS_SCHLESWIG_HOLSTEIN,"278,92"
55,1134,0,12170,323,35,1557,829,1236,1057,2232,2328,1191669,922879,6,20797,2031,2685,752802,120.14,7219,660619864,RenamedUser_89526498,"1139,46"
56,4895,569,29903,319,64,1855,2080,4002,4096,10016,8162,4373248,4260468,6,54201,4761,4727,2604481,176.79,16295,509092435,Basior_SRC,"762,77"
57,207,0,2155,150,12,855,137,243,320,1379,575,72688,220719,5,4843,181,953,86503,63.26,1233,680088248,kristino4ka1997,"204,00"
58,1185,2,9480,275,14,1500,526,1015,1010,1185,2039,685247,832073,6,18418,1289,3160,559963,102.27,4714,501040574,Sn1per3ye,"631,95"
59,500,0,1835,272,12,992,91,319,410,415,741,219823,676956,4,4216,185,2138,201458,197.85,1085,568002824,KronycCz,"195,05"
60,20569,87,185189,391,521,2436,9153,16573,19307,60239,36401,20268625,35967207,9,306484,19004,4961,14229660,211.69,109909,527823625,Nik_612,"592,29"
61,7465,297,26062,387,86,2264,860,3017,3371,784,6474,3744585,6019419,9,43912,2760,5601,2504042,281.5,16756,564027917,Matsla0628,"707,01"
62,43959,3912,351300,573,775,2645,23630,31240,18688,110869,50703,65662393,37763755,10,571729,66769,8497,29062794,272.9,251286,597943969,HybJIouD,"1986,51"
63,329,0,1845,125,8,524,122,248,308,1135,564,34558,121508,4,7836,114,0,70437,0.0,0,622795352,RenamedUser_14979914,"38,97"
64,3831,51,13088,251,30,1418,879,2260,2757,5361,5047,1488081,3072214,6,28424,1809,3347,1268781,161.21,7053,618885097,VolShubNick,"290,71"
65,1013,0,3765,179,23,1116,258,672,855,1420,1550,215106,675934,4,8807,396,1966,277778,103.65,1579,620460961,DirektorVzrivA,"110,68"
66,154,0,1884,335,6,1137,108,236,264,1293,506,124897,291257,3,2976,146,1309,169341,90.97,1184,539979388,pirat9942,"280,55"
67,1263,0,5647,172,20,922,310,742,891,2383,1653,263191,489353,7,14528,634,1834,283522,68.17,2378,513320037,WendorfH,"223,72"
68,3268,0,23591,230,52,1527,1411,2837,3158,8495,6047,1715309,2686912,9,52620,2908,3661,1393446,109.83,15494,509500321,step4,"448,28"
70,532,0,5157,348,22,1716,345,492,455,2703,969,349441,447149,6,10104,679,3582,336795,131.92,3263,624826344,RenamedUser_20690114,"668,77"
72,14878,502,111873,433,174,2229,4576,7778,7125,18027,15077,12714744,10245183,9,222446,14428,6736,6526633,278.65,67176,598350182,Alex_777_Pavlodar_KZ,"1337,41"
73,11298,1925,70939,408,199,2097,4733,7814,7764,6724,15777,11857606,9707533,7,112175,11107,5794,6437414,209.42,48907,543541685,Zearth,"1070,60"
74,1150,0,7916,165,8,1121,207,693,947,1401,1648,190028,544171,6,23967,575,1811,271227,68.35,3342,517180919,polopoloe,"86,62"
75,1057,0,5179,415,6,1716,116,408,481,1994,895,410444,734063,6,7287,584,3076,371531,193.37,3613,630198155,_I_Andrey_I_,"751,25"
77,833,0,3890,202,16,1145,261,764,946,953,1726,309798,658592,6,8058,592,2103,348722,83.4,2493,629600198,duny12345,"179,43"
78,21820,5,93100,567,141,2334,3522,8331,8366,10980,16838,17503735,17605447,8,128857,13182,8693,9546649,340.52,69015,625378375,denismaliy,"1266,40"
79,9414,0,34146,321,45,1799,1749,4250,4340,7514,8635,4337195,6709520,7,52467,5080,4419,2773559,179.06,21920,523362763,Ciklus_1,"727,94"
80,3191,566,20491,299,50,1737,1351,2716,2987,6662,5753,2264512,3718176,6,41448,2696,3274,1717425,157.89,11553,656977582,Evgen1739_11880767,"475,97"
81,40320,1311,195254,468,414,2085,13040,23692,24170,40374,48276,42911327,40094693,8,321811,35568,7337,22613542,273.09,144782,627151451,serbog13,"1085,37"
82,375,6,1529,246,11,1098,100,245,273,1266,529,110909,359024,3,2774,99,1438,130004,109.06,887,652094313,mobile_master_707,"215,22"
83,38366,2717,213298,411,653,2217,14888,21432,21496,57490,43581,38748003,31192003,10,356311,35826,6247,17925634,348.54,96576,595787386,nazarnadvirna,"1196,06"
84,3081,122,18810,356,29,1883,1096,2190,2133,4021,4352,2046800,2335392,6,33280,2722,4011,1548506,181.72,12312,656901702,Some_Change,"766,81"
85,19299,66,122635,580,176,2426,4683,8654,7111,29321,15941,20173028,16815918,8,180573,16009,7616,9251941,388.75,84814,598911774,Aspire_29,"1743,94"
86,324,0,2530,181,2,1274,95,250,270,671,522,44570,98032,4,6528,193,1338,94663,42.3,1441,608547914,vasja61,"151,12"
87,18264,0,104053,436,183,2374,6023,9756,10174,37393,20113,13752228,12768429,8,177175,14444,6826,8775764,233.9,29562,504215936,XperX,"1041,82"
88,3842,175,22319,515,55,2163,944,1743,1557,5798,3355,2156249,2476606,10,34498,2732,4105,1727145,259.59,14481,568689695,SuspiciousOne,"1093,98"
89,1340,0,5530,84,21,451,301,889,950,848,1860,156970,400980,5,7935,541,938,156650,44.48,5032,636372437,soka_ljat2,"239,32"
91,7838,0,40496,524,109,2947,1431,3496,3800,4069,7405,6862675,7347739,8,59908,5415,8687,3877374,302.18,28313,623011606,EtoJeLowgf,"1163,44"
92,78,309,2023,363,17,1575,242,331,335,260,683,269435,117289,5,5148,457,2061,247683,51.88,435,636139596,huburche,"760,98"
