spotted,battles_on_stunning_vehicles,hits,battle_avg_xp,draws,max_xp,survived_battles,wins,losses,capture_points,battles,damage_dealt,damage_received,max_frags,shots,frags,max_damage,xp,avg_damage_assisted,piercings,user_id,nickname,wn8
807,38,3564,263,15,1116,174,398,396,522,809,188718,263988,5,7319,389,1567,212897,108.0,2126,630675552,greenbirdus,"567,79"
1530,3,9382,234,26,1239,611,1014,1029,3847,2069,522446,593769,6,19333,1233,2012,483650,111.85,6362,596561562,C_ABTOBA3A,"530,66"
128,0,1500,147,2,726,130,265,254,446,521,51855,144024,5,4138,157,1036,76622,42.06,883,634554120,Babay19910403,"117,49"
14488,105,56828,382,118,2160,1985,5282,5098,8549,10498,7102513,7633297,10,96897,7643,6255,4005621,297.38,35147,502086999,2803nevs,"1134,25"
498,0,4965,408,3,2181,202,321,197,348,521,234017,91258,10,8304,895,2232,212310,80.2,3878,534287717,ce3peo,"2172,30"
37299,669,196164,554,502,2703,9450,16701,14269,32136,31472,35923508,27615987,11,287110,29952,8003,17446110,418.92,96231,500357113,Feiner,"1719,65"
2133,0,8358,326,20,1616,446,1071,1110,2334,2201,1005837,1363033,7,14085,1298,3757,717086,186.78,5901,634949909,temoha_11,"712,40"
761,0,4567,319,4,1272,329,603,638,857,1245,297027,664224,6,10219,439,2238,397687,110.9,2515,531201778,FERMYNT,"287,02"
307,0,2475,191,3,822,155,311,319,1122,633,91928,182575,5,5022,239,1202,121072,71.1,1255,532292262,binghor,"257,11"
933,0,5504,667,5,2063,128,344,342,16,691,798318,849686,5,7437,649,4080,461239,332.56,4061,539655080,PseudonymeSecret,"1766,98"
3463,0,22783,754,40,2619,719,1531,1216,3580,2787,3247903,2979748,7,35823,2692,6182,2100874,356.37,15747,588436828,anonym_qaJLECmIhBsp,"1832,49"
4606,80,25432,314,62,2235,867,2658,2856,6083,5576,2331783,3005263,7,52358,2690,4995,1752001,147.04,13624,618955370,7over7,"637,45"
650,0,3176,151,11,788,435,913,1200,1218,2124,154786,840087,4,15061,337,1182,320000,60.44,1768,539662081,terminator001_invader,"34,18"
1111,0,11785,544,16,2098,341,559,464,1610,1039,801535,594340,8,17169,1286,2873,565550,238.61,8229,510765901,MrGanjebas,"1968,07"
1591,0,5331,200,9,1320,268,867,895,1613,1771,289002,639526,6,9693,672,1939,353373,96.48,3591,658732349,stenin_sasha_64449788,"269,72"
1381,0,5693,186,21,939,372,720,762,1999,1503,237412,360080,9,10250,695,1409,279394,91.7,3917,519935695,YJDax,"325,10"
470,0,2356,152,9,874,123,297,322,514,628,80657,106016,4,5126,293,994,95205,58.12,1425,605772239,RenamedUser_41494937,"240,57"
1599,0,9534,267,17,1916,239,727,833,1733,1577,410710,555357,8,19348,987,3453,420507,111.78,6032,530261833,FunyFanta,"630,02"
1070,0,4856,198,18,1286,375,873,962,1365,1853,357626,855282,5,9603,614,2156,366525,93.53,2892,627249087,VARUTA_27856793,"246,60"
7038,0,30512,331,65,2004,1151,2638,2438,11120,5141,2091688,2303749,8,51709,3783,2761,1702644,229.28,4526,501642943,dannyzed,"977,88"
5148,301,27313,505,101,2025,856,2745,3209,2185,6055,4728340,7354166,6,44018,3114,5609,3056881,241.4,17788,604222191,But_sher,"790,58"
374,0,3005,186,8,1237,232,385,438,714,831,161492,227476,5,5119,370,1842,154271,72.73,2007,627654363,RenamedUser_28983843,"304,76"
320,0,1102,80,22,448,111,208,339,257,569,12643,78235,3,8139,64,359,45612,31.31,555,516845098,Valdi_,"0,00"
789,0,6607,188,11,869,281,645,751,1407,1407,231525,427011,6,12931,540,1553,264810,62.13,3917,543793100,GhostFighting,"298,67"
370,0,3511,226,12,1821,221,540,587,1778,1139,190975,482336,6,7375,334,2553,256861,72.1,1875,614431234,Alexandra_Blanka,"181,01"
576,0,3738,350,3,1760,83,267,258,505,528,269973,214282,8,6095,473,4919,185040,91.12,2598,595910660,error_404_html,"1216,75"
1794,22,5504,182,14,853,261,689,685,2442,1388,195030,394670,5,11765,455,779,252015,90.34,680,619596802,RenamedUser_2535488,"285,52"
777,0,6324,403,27,2024,351,698,787,1245,1512,710913,1161037,7,9945,718,4293,610050,183.88,3903,596102902,zhenya0895,"593,75"
